date,arks,gen,sex,origin,trial,treatment,spent.sec,attack.type,leg,TBZ
5/05/2017,B60295,F2,male,HYB,,,,,eaten,yes
3/05/2017,B60298,F2,female,HYB,,,,,eaten,yes
4/05/2017,B70051,F2,female,HYB,,,,,eaten,yes
4/05/2017,B70052,F2,male,HYB,,,,,eaten,yes
3/05/2017,B70007,F1,female,NT,,,,,eaten,yes
18/04/2017,B70009,F1,female,NT,,,,,eaten,yes
3/05/2017,B70011,F1,female,NT,,,,,eaten,yes
5/05/2017,B70015,F1,male,NT,,,,,eaten,yes
30/06/2017,B70018,F1,male,NT,,,,,eaten,no
3/05/2017,B70023,F1,male,NT,,,,,eaten,yes
3/05/2017,B70024,F1,female,NT,,,,,eaten,yes
3/05/2017,B70025,F1,male,NT,,,,,eaten,yes
18/04/2017,B70026,F1,female,NT,,,,,eaten,yes
18/04/2017,B70027,F1,male,NT,,,,,eaten,yes
3/05/2017,B70028,F1,female,NT,,,,,eaten,yes
5/05/2017,B70029,F1,male,NT,,,,,eaten,yes
5/05/2017,B70030,F1,female,NT,,,,,eaten,yes
18/04/2017,B70033,F1,female,NT,,,,,eaten,yes
18/04/2017,B70037,F1,female,NT,,,,,eaten,yes
5/05/2017,B70038,F1,female,NT,,,,,eaten,yes
18/04/2017,B70039,F1,female,NT,,,,,eaten,yes
5/05/2017,B70040,F1,female,NT,,,,,eaten,yes
5/05/2017,B70041,F1,female,NT,,,,,eaten,yes
18/04/2017,B70049,F1,male,NT,,,,,eaten,yes
4/05/2017,B70050,F1,female,NT,,,,,eaten,yes
18/04/2017,B70076,F1,male,NT,,,,,eaten,yes
5/05/2017,B70078,F1,male,NT,,,,,eaten,yes
5/05/2017,B70079,F1,female,NT,,,,,eaten,yes
18/04/2017,B70080,F1,female,NT,,,,,eaten,yes
5/05/2017,B70082,F1,female,NT,,,,,eaten,yes
30/06/2017,B70043,F2,female,QLD,,,,,eaten,no
4/05/2017,B70045,F2,male,QLD,,,,,eaten,yes
30/06/2017,B70065,F2,male,QLD,,,,,eaten,no
30/06/2017,B70068,F2,male,QLD,,,,,eaten,no
30/06/2017,B70086,F2,male,QLD,,,,,eaten,no
30/06/2017,B70090,F2,male,QLD,,,,,eaten,no
5/05/2017,B60293,F2,male,HYB,,,,,uneaten,yes
5/05/2017,B60294,F2,male,HYB,,,,,uneaten,yes
4/05/2017,B60296,F2,female,HYB,,,,,uneaten,yes
3/05/2017,B60297,F2,female,HYB,,,,,uneaten,yes
5/05/2017,B60299,F2,male,HYB,,,,,uneaten,yes
5/05/2017,B60300,F2,male,HYB,,,,,uneaten,yes
5/05/2017,B70053,F2,female,HYB,,,,,uneaten,yes
4/05/2017,B70054,F2,female,HYB,,,,,uneaten,yes
4/05/2017,B70055,F2,female,HYB,,,,,uneaten,yes
4/05/2017,B70005,F1,male,NT,,,,,uneaten,yes
18/04/2017,B70006,F1,male,NT,,,,,uneaten,yes
18/04/2017,B70008,F1,female,NT,,,,,uneaten,yes
3/05/2017,B70010,F1,female,NT,,,,,uneaten,yes
30/06/2017,B70012,F1,male,NT,,,,,uneaten,no
18/04/2017,B70016,F1,female,NT,,,,,uneaten,yes
5/05/2017,B70017,F1,female,NT,,,,,uneaten,yes
5/05/2017,B70019,F1,male,NT,,,,,uneaten,yes
18/04/2017,B70020,F1,male,NT,,,,,uneaten,yes
18/04/2017,B70021,F1,male,NT,,,,,uneaten,yes
5/05/2017,B70022,F1,female,NT,,,,,uneaten,yes
18/04/2017,B70031,F1,male,NT,,,,,uneaten,yes
5/05/2017,B70032,F1,male,NT,,,,,uneaten,yes
4/05/2017,B70075,F1,female,NT,,,,,uneaten,yes
5/05/2017,B70077,F1,male,NT,,,,,uneaten,yes
18/04/2017,B70083,F1,male,NT,,,,,uneaten,yes
4/05/2017,B70044,F2,male,QLD,,,,,uneaten,yes
30/06/2017,B70046,F2,male,QLD,,,,,uneaten,no
30/06/2017,B70057,F2,female,QLD,,,,,uneaten,no
30/06/2017,B70058,F2,female,QLD,,,,,uneaten,no
5/05/2017,B70059,F2,male,QLD,,,,,uneaten,yes
3/05/2017,B70061,F2,male,QLD,,,,,uneaten,yes
30/06/2017,B70063,F2,male,QLD,,,,,uneaten,no
30/06/2017,B70066,F2,female,QLD,,,,,uneaten,no
4/05/2017,B70067,F2,male,QLD,,,,,uneaten,yes
4/05/2017,B70070,F2,male,QLD,,,,,uneaten,yes
30/06/2017,B70071,F2,female,QLD,,,,,uneaten,no
4/05/2017,B70085,F2,male,QLD,,,,,uneaten,yes
30/06/2017,B70087,F2,female,QLD,,,,,uneaten,no
4/05/2017,B70088,F2,male,QLD,,,,,uneaten,yes
30/06/2017,B70089,F2,female,QLD,,,,,uneaten,no
9/03/2017,B60293,F2,male,HYB,1,toad,157,B,,
10/03/2017,B60293,F2,male,HYB,1,mouse,351,P,,
9/03/2017,B60294,F2,male,HYB,1,mouse,237,S,,
10/03/2017,B60294,F2,male,HYB,1,toad,220,B,,
9/03/2017,B60295,F2,male,HYB,1,toad,174,B,,
10/03/2017,B60295,F2,male,HYB,1,mouse,189,P,,
8/04/2017,B60296,F2,female,HYB,1,toad,338,P,,
9/04/2017,B60296,F2,female,HYB,1,mouse,787,B,,
8/04/2017,B60297,F2,female,HYB,1,mouse,870,B,,
9/04/2017,B60297,F2,female,HYB,1,toad,286,P,,
8/04/2017,B60298,F2,female,HYB,1,toad,435,B,,
9/04/2017,B60298,F2,female,HYB,1,mouse,584,P,,
9/03/2017,B60299,F2,male,HYB,1,mouse,485,S,,
10/03/2017,B60299,F2,male,HYB,1,toad,192,P,,
9/03/2017,B60300,F2,male,HYB,1,toad,299,S,,
10/03/2017,B60300,F2,male,HYB,1,mouse,197,B,,
8/04/2017,B70051,F2,female,HYB,1,mouse,615,P,,
9/04/2017,B70051,F2,female,HYB,1,toad,226,P,,
9/03/2017,B70052,F2,male,HYB,1,mouse,870,P,,
10/03/2017,B70052,F2,male,HYB,1,toad,512,P,,
8/04/2017,B70053,F2,female,HYB,1,toad,713,S,,
9/04/2017,B70053,F2,female,HYB,1,mouse,774,B,,
8/04/2017,B70054,F2,female,HYB,1,mouse,1380,S,,
9/04/2017,B70054,F2,female,HYB,1,toad,473,S,,
8/04/2017,B70055,F2,female,HYB,1,toad,1031,S,,
9/04/2017,B70055,F2,female,HYB,1,mouse,606,S,,
9/03/2017,B70005,F1,male,NT,1,toad,180,S,,
10/03/2017,B70005,F1,male,NT,1,mouse,279,B,,
9/03/2017,B70006,F1,male,NT,1,toad,27,S,,
10/03/2017,B70006,F1,male,NT,1,mouse,333,P,,
29/03/2017,B70007,F1,female,NT,1,mouse,93,S,,
30/03/2017,B70007,F1,female,NT,1,toad,74,S,,
29/03/2017,B70008,F1,female,NT,1,toad,434,P,,
30/03/2017,B70008,F1,female,NT,1,mouse,479,B,,
9/03/2017,B70009,F1,female,NT,1,mouse,1351,P,,
10/03/2017,B70009,F1,female,NT,1,toad,99,P,,
29/03/2017,B70010,F1,female,NT,1,mouse,192,S,,
30/03/2017,B70010,F1,female,NT,1,toad,41,S,,
29/03/2017,B70011,F1,female,NT,1,toad,291,S,,
