population,arks,mum,dad,sex,date
Astell,B50247,unknown,unknown,female,2015
Astell,B50248,unknown,unknown,male,2015
Astell,B50249,unknown,unknown,female,2015
Astell,B50250,unknown,unknown,female,2015
Astell,B60039,unknown,unknown,female,2016
Astell,B60040,unknown,unknown,male,2016
Astell,B60041,unknown,unknown,male,2016
Astell,B60042,unknown,unknown,female,2016
Astell,B60043,unknown,unknown,female,2016
Astell,B60044,unknown,unknown,male,2016
Astell,B60045,unknown,unknown,female,2016
Astell,B60046,unknown,unknown,female,2016
Astell,B60047,unknown,unknown,female,2016
Astell,B60048,unknown,unknown,female,2016
Astell,B60049,unknown,unknown,female,2016
Astell,B60050,unknown,unknown,female,2016
Astell,B60051,unknown,unknown,male,2016
Astell,B60052,unknown,unknown,male,2016
Astell,B60053,unknown,unknown,male,2016
Astell,B60054,unknown,unknown,female,2016
Astell,B60055,unknown,unknown,female,2016
Astell,B60056,unknown,unknown,female,2016
Astell,B60057,unknown,unknown,female,2016
Astell,B60058,unknown,unknown,male,2016
Astell,B60059,unknown,unknown,male,2016
Astell,B60060,unknown,unknown,male,2016
Astell,B60061,unknown,unknown,male,2016
Astell,B60062,unknown,unknown,female,2016
Astell,B60063,unknown,unknown,female,2016
Astell,B60064,unknown,unknown,male,2016
Astell,B60065,unknown,unknown,female,2016
Astell,B60066,unknown,unknown,male,2016
Astell,B60067,unknown,unknown,female,2016
Astell,B60068,unknown,unknown,female,2016
Astell,B60069,unknown,unknown,female,2016
Astell,B60070,unknown,unknown,male,2016
Astell,B60071,unknown,unknown,female,2016
Astell,B60072,unknown,unknown,female,2016
Astell,B60073,unknown,unknown,male,2016
Astell,B60074,unknown,unknown,female,2016
Astell,B60075,unknown,unknown,male,2016
Astell,B60076,unknown,unknown,male,2016
Astell,B60077,unknown,unknown,female,2016
Astell,B60078,unknown,unknown,female,2016
Astell,B60079,unknown,unknown,male,2016
Astell,B60080,unknown,unknown,female,2016
Astell,B60081,unknown,unknown,female,2016
Astell,B60082,unknown,unknown,female,2016
Astell,B60083,unknown,unknown,male,2016
Astell,B60084,unknown,unknown,female,2016
Astell,B60085,unknown,unknown,male,2016
Astell,B60086,unknown,unknown,female,2016
Astell,B60087,unknown,unknown,female,2016
Astell,B60088,unknown,unknown,male,2016
Astell,B60089,unknown,unknown,female,2016
Astell,B60090,unknown,unknown,male,2016
Astell,B60091,unknown,unknown,male,2016
Astell,B60092,unknown,unknown,female,2016
Astell,B60093,unknown,unknown,female,2016
Astell,B60094,unknown,unknown,female,2016
Astell,B60095,unknown,unknown,female,2016
Astell,B60096,unknown,unknown,male,2016
Astell,B60097,unknown,unknown,female,2016
Astell,B60098,unknown,unknown,male,2016
Astell,B60099,unknown,unknown,female,2016
Astell,B60100,unknown,unknown,male,2016
Astell,B60101,unknown,unknown,male,2016
Astell,B60102,unknown,unknown,male,2016
Hybrid F2,B60293,B60011,B60075,male,2016
Hybrid F2,B60294,B60011,B60075,male,2016
Hybrid F2,B60295,B60011,B60075,male,2016
Hybrid F2,B60296,B60011,B60075,female,2016
Hybrid F2,B60297,B60011,B60075,female,2016
Hybrid F2,B60298,B60011,B60075,female,2016
Hybrid F2,B60299,B60011,B60075,male,2016
Hybrid F2,B60300,B60011,B60075,male,2016
Hybrid F2,B70051,B60071,B60007,female,2017
Hybrid F2,B70052,B60071,B60007,male,2017
Hybrid F2,B70053,B60071,B60007,female,2017
Hybrid F2,B70054,B60071,B60007,female,2017
Hybrid F2,B70055,B60071,B60007,female,2017
NT F2,B70005,B60042,B60041,male,2017
NT F2,B70006,B60042,B60041,male,2017
NT F2,B70007,B60042,B60041,female,2017
NT F2,B70008,B60042,B60041,female,2017
NT F2,B70009,B60042,B60041,female,2017
NT F2,B70010,B60042,B60041,female,2017
NT F2,B70011,B60042,B60041,female,2017
NT F2,B70015,B60043,B60044,male,2017
NT F2,B70016,B60043,B60044,female,2017
NT F2,B70017,B60043,B60044,female,2017
NT F2,B70018,B60043,B60044,male,2017
NT F2,B70019,B60043,B60044,male,2017
NT F2,B70020,B60043,B60044,male,2017
NT F2,B70021,B60043,B60044,male,2017
NT F2,B70022,B60043,B60044,female,2017
NT F2,B70023,B60089,B60058,male,2017
NT F2,B70024,B60089,B60058,female,2017
NT F2,B70025,B60089,B60058,male,2017
NT F2,B70026,B60089,B60058,female,2017
NT F2,B70027,B60089,B60058,male,2017
NT F2,B70028,B60089,B60058,female,2017
NT F2,B70029,B60048,B60052,male,2017
NT F2,B70030,B60048,B60052,female,2017
NT F2,B70031,B60048,B60052,male,2017
NT F2,B70032,B60048,B60052,male,2017
NT F2,B70033,B60048,B60052,female,2017
NT F2,B70037,B60047,B60096,female,2017
NT F2,B70038,B60047,B60096,female,2017
NT F2,B70039,B60047,B60096,female,2017
NT F2,B70040,B60047,B60096,female,2017
NT F2,B70041,B60047,B60096,female,2017
NT F2,B70049,B60078,B60070,male,2017
NT F2,B70050,B60078,B60070,female,2017
NT F2,B70075,B60094,B60090,female,2017
NT F2,B70076,B60094,B60090,male,2017
NT F2,B70077,B60065,B60076,male,2017
NT F2,B70078,B60065,B60076,male,2017
NT F2,B70079,B60065,B60076,female,2017
